sigma,noise_percent,instance,method,length,reference_length,reference_solver,gap_percent
0.0,0.0,36,Attention:greedy_rollout,42.37554826612181,40.89964053879176,LKH,3.6086080657119974
0.0,0.0,36,PointerNet:batch_greedy_mean,44.2105204468727,40.89964053879176,LKH,8.095132046309057
0.0,0.0,36,PointerNet:greedy_rollout,42.629825031791704,40.89964053879176,LKH,4.230317113322626
0.0,0.0,36,POMO,42.3626690314468,40.89964053879176,LKH,3.5771182176220218
0.0,0.0,37,Attention:batch_greedy_mean,44.15054220846542,41.77947268107304,LKH,5.67520213931882
0.0,0.0,37,Attention:greedy_rollout,44.763035203350555,41.77947268107304,LKH,7.141216321835319
0.0,0.0,37,PointerNet:batch_greedy_mean,46.95139524102754,41.77947268107304,LKH,12.379099658425059
0.0,0.0,37,PointerNet:greedy_rollout,46.61095558014999,41.77947268107304,LKH,11.564250549446772
0.0,0.0,37,POMO,42.54742370855144,41.77947268107304,LKH,1.8381060798460036
0.0,0.0,38,Attention:batch_greedy_mean,40.17133491298715,39.76910596723323,LKH,1.0114105810810163
0.0,0.0,38,Attention:greedy_rollout,40.91804140620186,39.76910596723323,LKH,2.8890150055554815
0.0,0.0,38,PointerNet:batch_greedy_mean,44.22069638014813,39.76910596723323,LKH,11.193589356981457
0.0,0.0,38,PointerNet:greedy_rollout,42.41170331863289,39.76910596723323,LKH,6.644849782584907
0.0,0.0,38,POMO,39.887891833611945,39.76910596723323,LKH,0.29868880250057933
0.0,0.0,39,Attention:batch_greedy_mean,43.01625666315679,40.092365818394335,LKH,7.292886775519183
0.0,0.0,39,Attention:greedy_rollout,47.07362494703436,40.092365818394335,LKH,17.412938812997243
0.0,0.0,39,PointerNet:batch_greedy_mean,47.035198461877584,40.092365818394335,LKH,17.317093919905034
0.0,0.0,39,PointerNet:greedy_rollout,46.506767385614715,40.092365818394335,LKH,15.999059761839895
0.0,0.0,39,POMO,40.092365818394335,40.092365818394335,LKH,0.0
0.0,0.0,40,Attention:batch_greedy_mean,51.416777781834035,40.102038922964965,LKH,28.214871769000094
0.0,0.0,40,Attention:greedy_rollout,44.59027609543912,40.102038922964965,LKH,11.1920423325506
0.0,0.0,40,PointerNet:batch_greedy_mean,42.41470239446967,40.102038922964965,LKH,5.766947351348584
0.0,0.0,40,PointerNet:greedy_rollout,42.027909485264935,40.102038922964965,LKH,4.802425547487797
0.0,0.0,40,POMO,40.55497864410753,40.102038922964965,LKH,1.1294680602466356
0.0,0.0,41,Attention:batch_greedy_mean,40.84469490080705,36.71737657093345,LKH,11.240776752936378
0.0,0.0,41,Attention:greedy_rollout,39.96464985847621,36.71737657093345,LKH,8.84396868950978
0.0,0.0,41,PointerNet:batch_greedy_mean,45.13809738605466,36.71737657093345,LKH,22.933884720367782
0.0,0.0,41,PointerNet:greedy_rollout,41.19170519622354,36.71737657093345,LKH,12.185861418084247
0.0,0.0,41,POMO,36.98070322087669,36.71737657093345,LKH,0.7171717441046568
0.0,0.0,42,Attention:batch_greedy_mean,43.173971038014336,39.675164303313764,LKH,8.818631998477557
0.0,0.0,42,Attention:greedy_rollout,44.88072623761177,39.675164303313764,LKH,13.120454636310663
0.0,0.0,42,PointerNet:batch_greedy_mean,41.92936748767283,39.675164303313764,LKH,5.6816480131647165
0.0,0.0,42,PointerNet:greedy_rollout,41.28739271573878,39.675164303313764,LKH,4.0635708527875245
0.0,0.0,42,POMO,39.675164303313764,39.675164303313764,LKH,0.0
0.0,0.0,43,Attention:batch_greedy_mean,45.10859655370786,43.556170925726605,LKH,3.564192156901267
0.0,0.0,43,Attention:greedy_rollout,47.582477610438076,43.556170925726605,LKH,9.243940867936393
0.0,0.0,43,PointerNet:batch_greedy_mean,51.07413138414773,43.556170925726605,LKH,17.260379639984865
0.0,0.0,43,PointerNet:greedy_rollout,53.63220868820888,43.556170925726605,LKH,23.13343333063932
0.0,0.0,43,POMO,43.556170925726605,43.556170925726605,LKH,0.0
0.0,0.0,44,Attention:batch_greedy_mean,43.1636960667815,41.18320431249356,LKH,4.808979260720436
0.0,0.0,44,Attention:greedy_rollout,42.72905842631727,41.18320431249356,LKH,3.753603294425433
0.0,0.0,44,PointerNet:batch_greedy_mean,47.889147688980835,41.18320431249356,LKH,16.283199640327467
0.0,0.0,44,PointerNet:greedy_rollout,43.683566435276255,41.18320431249356,LKH,6.071315150249671
0.0,0.0,44,POMO,41.9860397677821,41.18320431249356,LKH,1.9494244527373799
0.0,0.0,45,Attention:batch_greedy_mean,39.180003254784936,37.57052611543126,LKH,4.283882356102066
0.0,0.0,45,Attention:greedy_rollout,39.75836559242269,37.57052611543126,LKH,5.823286770777556
0.0,0.0,45,PointerNet:batch_greedy_mean,40.548525866110076,37.57052611543126,LKH,7.92642546854214
0.0,0.0,45,PointerNet:greedy_rollout,40.368962564049156,37.57052611543126,LKH,7.448488850062985
0.0,0.0,45,POMO,38.911267803980095,37.57052611543126,LKH,3.568599716782137
0.0,0.0,46,Attention:batch_greedy_mean,37.23929764795021,34.58315032719642,LKH,7.680466630782842
0.0,0.0,46,Attention:greedy_rollout,35.11175695627638,34.58315032719642,LKH,1.5285091846136984
0.0,0.0,46,PointerNet:batch_greedy_mean,38.48203915956478,34.58315032719642,LKH,11.273955077777414
0.0,0.0,46,PointerNet:greedy_rollout,38.72678946990417,34.58315032719642,LKH,11.981670563566798
0.0,0.0,46,POMO,34.58315032719642,34.58315032719642,LKH,0.0
0.0,0.0,47,Attention:batch_greedy_mean,38.07485244410897,35.770307423294916,LKH,6.442620113779762
0.0,0.0,47,Attention:greedy_rollout,36.38748767040333,35.770307423294916,LKH,1.7253982187094226
0.0,0.0,47,PointerNet:batch_greedy_mean,38.99446510826428,35.770307423294916,LKH,9.013502866541412
0.0,0.0,47,PointerNet:greedy_rollout,44.45115382125612,35.770307423294916,LKH,24.268302464484616
0.0,0.0,47,POMO,36.11822735793572,35.770307423294916,LKH,0.972650110393596
0.0,0.0,48,Attention:batch_greedy_mean,42.49509949504917,41.98055844390003,LKH,1.2256650940857194
0.0,0.0,48,Attention:greedy_rollout,42.51328649295376,41.98055844390003,LKH,1.2689875237501476
0.0,0.0,48,PointerNet:batch_greedy_mean,52.57511469072268,41.98055844390003,LKH,25.236815896530995
0.0,0.0,48,PointerNet:greedy_rollout,42.10638078073025,41.98055844390003,LKH,0.2997157291234196
0.0,0.0,48,POMO,42.08819378282567,41.98055844390003,LKH,0.2563932994590252
0.0,0.0,49,Attention:batch_greedy_mean,44.30691068858363,42.164556813493185,LKH,5.0809353565999364
0.0,0.0,49,Attention:greedy_rollout,49.3070226513403,42.164556813493185,LKH,16.93950174655087
0.0,0.0,49,PointerNet:batch_greedy_mean,48.292884899145214,42.164556813493185,LKH,14.534311632301772
0.0,0.0,49,PointerNet:greedy_rollout,46.062719661082994,42.164556813493185,LKH,9.245117563627156
0.0,0.0,49,POMO,43.31332405815725,42.164556813493185,LKH,2.7244855193081134
0.0,0.0,50,Attention:batch_greedy_mean,44.55565427125589,41.266851248100174,LKH,7.969600111680737
0.0,0.0,50,Attention:greedy_rollout,42.557430230225144,41.266851248100174,LKH,3.127398730680681
0.0,0.0,50,PointerNet:batch_greedy_mean,46.60986809860107,41.266851248100174,LKH,12.947478881725619
0.0,0.0,50,PointerNet:greedy_rollout,49.64856333135873,41.266851248100174,LKH,20.3110046678069
0.0,0.0,50,POMO,42.62298435676026,41.266851248100174,LKH,3.2862529309708886
0.0,0.0,51,Attention:batch_greedy_mean,36.06632601380961,35.48495672115893,LKH,1.6383542390063541
0.0,0.0,51,Attention:greedy_rollout,37.37241659472312,35.48495672115893,LKH,5.319042343480547
0.0,0.0,51,PointerNet:batch_greedy_mean,47.75859512477276,35.48495672115893,LKH,34.588286242139674
0.0,0.0,51,PointerNet:greedy_rollout,36.417321691432505,35.48495672115893,LKH,2.6274936097572454
0.0,0.0,51,POMO,35.48495672115893,35.48495672115893,LKH,0.0
0.0,0.0,52,Attention:batch_greedy_mean,46.68115994720923,40.079889010686855,LKH,16.470282476985453
0.0,0.0,52,Attention:greedy_rollout,43.468824260214674,40.079889010686855,LKH,8.455450684068005
0.0,0.0,52,PointerNet:batch_greedy_mean,48.52321978394825,40.079889010686855,LKH,21.066252880615696
0.0,0.0,52,PointerNet:greedy_rollout,44.225571042534995,40.079889010686855,LKH,10.343546686825253
0.0,0.0,52,POMO,40.4268309462627,40.079889010686855,LKH,0.8656259888427676
0.0,0.0,53,Attention:batch_greedy_mean,43.36942187248895,40.48342532328686,LKH,7.128834890218662
0.0,0.0,53,Attention:greedy_rollout,46.33099129587626,40.48342532328686,LKH,14.444345867210417
0.0,0.0,53,PointerNet:batch_greedy_mean,43.60819524283291,40.48342532328686,LKH,7.718640146165264
0.0,0.0,53,PointerNet:greedy_rollout,46.313733092693724,40.48342532328686,LKH,14.401715573343932
0.0,0.0,53,POMO,41.072890261257484,40.48342532328686,LKH,1.4560648790544741
0.0,0.0,54,Attention:batch_greedy_mean,44.35603600334979,44.25185776402303,LKH,0.23542116555264997
0.0,0.0,54,Attention:greedy_rollout,46.6820038029001,44.25185776402303,LKH,5.491624898181765
0.0,0.0,54,PointerNet:batch_greedy_mean,47.933561012214284,44.25185776402303,LKH,8.319884032494782
0.0,0.0,54,PointerNet:greedy_rollout,47.18877517024983,44.25185776402303,LKH,6.636822846824145
